"row_id","section","query_id","query_text","candidate_id","candidate_text","label","why_separate_or_note"
"1","shortlist","p5yca","WKU should consider building a parking structure at the Chestnut St lot.","phc7j","Parking lots should be monitored to prevent illegal parking in handicap spaces.","",""
"2","shortlist","p5yca","WKU should consider building a parking structure at the Chestnut St lot.","pqr9z","Extra police, or parking enforcement unit should be on duty during events to maintain legal parking","",""
"3","shortlist","p5yca","WKU should consider building a parking structure at the Chestnut St lot.","pk47i","The downtown parking garage has been an eyesore for years. It's embarrassing, so fix it!","",""
"4","shortlist","p5yca","WKU should consider building a parking structure at the Chestnut St lot.","pqtft","Kentucky and Adams streets should be two-way roads. Adams St. should be zoned commercial, and Kentucky St. should be zoned residential.","",""
"5","shortlist","p5yca","WKU should consider building a parking structure at the Chestnut St lot.","pnspp","The Kentucky Career Center on Chestnut is a great resource to locate employment.","",""
"6","shortlist","p5yca","WKU should consider building a parking structure at the Chestnut St lot.","p8zq7","Build parking garage behind Spencer’s, remove some parking from Ft. Square. Add a green space on top of garage! Soccer field or rooftop food","",""
"7","shortlist","p5yca","WKU should consider building a parking structure at the Chestnut St lot.","pq3ad","More parking downtown. There are too many reserved spaces which should be available in the evening.","",""
"8","shortlist","p5yca","WKU should consider building a parking structure at the Chestnut St lot.","pd3p9","Better parking around the square would draw in more college students who like to shop but can not find parking downtown.","",""
"9","shortlist","p5yca","WKU should consider building a parking structure at the Chestnut St lot.","p5eg6","There needs to be better access to grocery stores and restaurants from WKU's campus.","",""
"10","shortlist","p5yca","WKU should consider building a parking structure at the Chestnut St lot.","pcvs4","Institute a business development grant that encourages WKU grads to stay in Bowling Green by starting local businesses.","",""
"11","shortlist","p5yca","WKU should consider building a parking structure at the Chestnut St lot.","pebvm","Bowling Green should consider a program, like Ft Worth Texas's Clean Slate, in which the homeless can earn money by cleaning up the city.","",""
"12","shortlist","p5yca","WKU should consider building a parking structure at the Chestnut St lot.","puuwd","Like Steamers but hate they ruined that historic building","",""
"13","shortlist","p5yca","WKU should consider building a parking structure at the Chestnut St lot.","pwy69","More sidewalks would be great, but first let’s stop people parking on them. Or stop spending money building them. Whichever.","",""
"14","shortlist","p5yca","WKU should consider building a parking structure at the Chestnut St lot.","p2wk5","There should be more healthy food options near/on campus of WKU.","",""
"15","shortlist","p5yca","WKU should consider building a parking structure at the Chestnut St lot.","pkta9","City officials need to work with WKU admin. to address the noise & public nuisance problems with the frat houses and homeowners downtown.","",""
"16","shortlist","p5yca","WKU should consider building a parking structure at the Chestnut St lot.","pgdt8","Consider asking low-income or disabled residents what they really need.","",""
"17","shortlist","p5yca","WKU should consider building a parking structure at the Chestnut St lot.","pp8pk","Develop the Greenway so that the paved trail is continuous and reaches major parts of the city including the square, WKU, GM, and others.","",""
"18","shortlist","p5yca","WKU should consider building a parking structure at the Chestnut St lot.","p43af","It should be mandatory for all homes/businesses to have visible marking on mailbox and building for their address.","",""
"19","shortlist","p5yca","WKU should consider building a parking structure at the Chestnut St lot.","pp2tr","Building codes prohibiting trophy houses next to common housing","",""
"20","shortlist","p5yca","WKU should consider building a parking structure at the Chestnut St lot.","p59nj","Owners of large parking lots should be required to break them up with pockets of green space and trees; perhaps create a walkable green path","",""
"21","shortlist","p5yca","WKU should consider building a parking structure at the Chestnut St lot.","p5at5","Downtown redevelopment should retain accessible parking for existing businesses.","",""
"22","shortlist","p5yca","WKU should consider building a parking structure at the Chestnut St lot.","p8hra","Traffic flow needs to be improved throughout Bowling Green, especially on Scottsville Road.","",""
"23","shortlist","p5yca","WKU should consider building a parking structure at the Chestnut St lot.","pz3q2","WKU and local community colleges should continue to offer courses that interest those seeking an education, whether or not the courses aid in job placement.","",""
"24","shortlist","p5yca","WKU should consider building a parking structure at the Chestnut St lot.","ph8pr","Residential Parking Permits for areas near WKU. We can rescue our yards from parking. We pay property taxes for the students' convenience,","",""
"25","shortlist","p5yca","WKU should consider building a parking structure at the Chestnut St lot.","p7ms9","City/county parks should be focused on creating and maintain green places for residents to join.Avoid cement parking and adding buildings","",""
"26","shortlist","p5yca","WKU should consider building a parking structure at the Chestnut St lot.","p3y2u","Greenwood Mall parking lot could become a cooperative solar collection for itself and home surrounding","",""
"27","shortlist","p5yca","WKU should consider building a parking structure at the Chestnut St lot.","pi9rk","Increase green spaces, especially near mall, to decrease congestion and improve ""green"" status","",""
"28","shortlist","p5yca","WKU should consider building a parking structure at the Chestnut St lot.","p89sh","Build parking areas.","",""
"29","shortlist","p5yca","WKU should consider building a parking structure at the Chestnut St lot.","pe262","WKU should upgrade their CIT program to keep up with the times","",""
"30","shortlist","p5yca","WKU should consider building a parking structure at the Chestnut St lot.","pj74t","Parking on the WKU campus should be more accessible to students and visitors.","",""
"31","shortlist","p5yca","WKU should consider building a parking structure at the Chestnut St lot.","pgpc7","Parking in apartment subdivisions should monitored closely by police. Parking on subdivision streets shouldn't be allowed.","",""
"32","shortlist","p5yca","WKU should consider building a parking structure at the Chestnut St lot.","pf7ei","Connect business parking lots to reduce unnecessary traffic on main roadways","",""
