callId,queryId,split,positive,size,orderIndex,method,shownCount,approvedInPool,approvedShown,candidateRecall,bestTargetRank,bestTargetCosine,approvedPositions,decision,targetId,targetIsAnchor,outcome,correct,falseJoin,failure,attempts,retries,promptTokens,cachedTokens,cacheWriteTokens,completionTokens,reasoningTokens,billedUsd,undiscountedUsd,apiElapsedMs,retrievalMs,labelStatus,outcomeLenient,labelsFile,labelsSha256
"pxn3z-n200-o1-A","pxn3z","test","false","200","1","A","200","0","0","","","","","none","","false","correct","true","false","","1","0","5105","0","5102","82","37","0.0013745","0.0011194","1649.0283749999999","0","provisional","correct","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"paak8-n500-o0-B","paak8","test","true","500","0","B","15","3","3","true","1","0.891907","1 8 11","same","pj2cj","true","correct","true","false","","1","0","778","0","0","184","133","0.0003764","0.0003764","2432.593042","0.7611249999999998","provisional","correct","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"ptcr8-n500-o1-B","ptcr8","test","false","500","1","B","15","0","0","","","","","none","","false","correct","true","false","","1","0","600","0","0","89","46","0.0002268","0.0002268","1479.5124999999998","0.8465419999999995","provisional","miss-abstain","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"ptgpf-n500-o1-B","ptgpf","test","true","500","1","B","15","3","3","true","2","0.913979","5 11 13","same","psnvi","true","correct","true","false","","1","0","576","0","0","42","0","0.0001656","0.0001656","1179.9730829999999","0.8322089999999989","provisional","correct","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"peqy9-n100-o1-A","peqy9","test","true","100","1","A","100","1","1","true","1","0.906549","50","none","","false","miss-abstain","false","false","","1","0","2749","0","2746","162","105","0.0008815","0.0007442000000000001","2249.7690420000004","0","provisional","miss-abstain","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"pu3fh-n100-o0-A","pu3fh","test","false","100","0","A","100","0","0","","","","","none","","false","correct","true","false","","1","0","2714","0","2711","134","80","0.00083915","0.0007036","1924.0988750000001","0","provisional","miss-abstain","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"pc3m2-n100-o0-A","pc3m2","test","true","100","0","A","100","1","1","true","1","0.879539","5","none","","false","miss-abstain","false","false","","1","0","2773","0","2770","139","88","0.0008599","0.0007214","2474.53025","0","provisional","miss-abstain","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"p8jmp-n200-o0-A","p8jmp","test","false","200","0","A","200","0","0","","","","","none","","false","correct","true","false","","1","0","5129","0","5126","102","57","0.0014045","0.0011482","1522.7282919999998","0","provisional","miss-abstain","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"pns2r-n100-o0-A","pns2r","test","false","100","0","A","100","0","0","","","","","none","","false","correct","true","false","","1","0","2741","0","2738","96","47","0.0008003","0.0006634000000000001","3603.4008750000003","0","provisional","correct","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
"pxn3z-n500-o0-A","pxn3z","test","false","500","0","A","500","0","0","","","","","none","","false","correct","true","false","","1","0","12458","0","12455","95","51","0.00322835","0.0026056000000000005","2205.8369170000005","0","provisional","correct","frozen/labels.jsonl","eb7cd6c3ffbe7a1acbe1c7e52095331b2b492f4054d7e166a298e910dbfd6963"
